"term","frequency","density","occurrence"
"c",1,1.69402517321407e-05,0.00200400801603206
"aaaaaaibzbaaaahgaaaaaaaadcpdiweiqgrscaarlgcaqaaaaaaaaauaaaaawazqaaaaaad",1,1.69402517321407e-05,0.00200400801603206
"aaaaqacgqggbgaaaaaawaaaaaaaaeyaaaaayiuaaaaaaaaaaaaacwcgqggbgaaaaaawaaaaaaa",1,1.69402517321407e-05,0.00200400801603206
"aaaargaaaabuhqaaaqaaaauaaaaxmcwaaaaaamauieiiayaaaaaamaaaaaaaabgaaaaaagfaaaa",1,1.69402517321407e-05,0.00200400801603206
"aabdtlmrvmaabaouabaaaaagaaacaaaadaalzaqaaaasawieiiayaaaaaamaaaaaaaabgaaaa",1,1.69402517321407e-05,0.00200400801603206
"aafaaaaaaaaawbwgqggbgaaaaaawaaaaaaaaeyaaaaauouaafmuaqaeahgbccagaaaaaadaaaaa",1,1.69402517321407e-05,0.00200400801603206
"aawaaabdblszswguvhbgaeaboaqaaaccaaabtyxzlihvwihrvidcwjsbvbibpbnrlcmhdglv",1,1.69402517321407e-05,0.00200400801603206
"abandoned",4,6.7761006928563e-05,0.00601202404809619
"abbreviated",1,1.69402517321407e-05,0.00200400801603206
"abbreviation",1,1.69402517321407e-05,0.00200400801603206
"abdominal",1,1.69402517321407e-05,0.00200400801603206
"abducted",1,1.69402517321407e-05,0.00200400801603206
"abductions",1,1.69402517321407e-05,0.00200400801603206
"aberdeenshire",1,1.69402517321407e-05,0.00200400801603206
"aberrant",1,1.69402517321407e-05,0.00200400801603206
"aberration",1,1.69402517321407e-05,0.00200400801603206
"abilities",2,3.38805034642815e-05,0.00400801603206413
"ability",21,0.000355745286374956,0.0400801603206413
"abilty",1,1.69402517321407e-05,0.00200400801603206
"abiword",5,8.47012586607037e-05,0.00400801603206413
"able",43,0.000728430824482052,0.0761523046092184
"ablock",5,8.47012586607037e-05,0.00200400801603206
"abound",2,3.38805034642815e-05,0.00400801603206413
"abounds",1,1.69402517321407e-05,0.00200400801603206
"about",13,0.00022022327251783,0.0260521042084168
"above",5,8.47012586607037e-05,0.0100200400801603
"abpaaaaaabameabaaaabwaaaenpwuxfuwaahgaxqaeaaaahaaaaqztevtaaaeadhaaqaaaaca",1,1.69402517321407e-05,0.00200400801603206
"abraham",1,1.69402517321407e-05,0.00200400801603206
"abroad",3,5.08207551964222e-05,0.00400801603206413
"absence",8,0.000135522013857126,0.0120240480961924
"absense",2,3.38805034642815e-05,0.00400801603206413
"absent",3,5.08207551964222e-05,0.00601202404809619
"absolute",5,8.47012586607037e-05,0.0100200400801603
"absolutely",12,0.000203283020785689,0.0220440881763527
"absolutly",1,1.69402517321407e-05,0.00200400801603206
"absorbed",1,1.69402517321407e-05,0.00200400801603206
"absorbing",1,1.69402517321407e-05,0.00200400801603206
"absurdities",1,1.69402517321407e-05,0.00200400801603206
"abu",2,3.38805034642815e-05,0.00400801603206413
"abundantly",1,1.69402517321407e-05,0.00200400801603206
"abuse",1,1.69402517321407e-05,0.00200400801603206
"abw",1,1.69402517321407e-05,0.00200400801603206
"acaanwawacuamgaacaabwbuacaaaqbuahqazqbyagayqbagkabwbuageabaagagmayqbsagwa",1,1.69402517321407e-05,0.00200400801603206
"academic",7,0.000118581762124985,0.0100200400801603
"academy",5,8.47012586607037e-05,0.00200400801603206
"accelerate",1,1.69402517321407e-05,0.00200400801603206
"accelerating",2,3.38805034642815e-05,0.00400801603206413
"acceleration",1,1.69402517321407e-05,0.00200400801603206
"accelerators",1,1.69402517321407e-05,0.00200400801603206
"accept",6,0.000101641510392844,0.0120240480961924
"acceptable",3,5.08207551964222e-05,0.00601202404809619
"acceptance",2,3.38805034642815e-05,0.00400801603206413
"accepted",2,3.38805034642815e-05,0.00400801603206413
"accepting",5,8.47012586607037e-05,0.00801603206412826
"access",22,0.000372685538107096,0.0340681362725451
"accessed",2,3.38805034642815e-05,0.00400801603206413
"accesses",1,1.69402517321407e-05,0.00200400801603206
"accessing",1,1.69402517321407e-05,0.00200400801603206
"accessory",1,1.69402517321407e-05,0.00200400801603206
"accident",2,3.38805034642815e-05,0.00200400801603206
"accidentally",1,1.69402517321407e-05,0.00200400801603206
"accidently",1,1.69402517321407e-05,0.00200400801603206
"accommodate",1,1.69402517321407e-05,0.00200400801603206
"accommodationist",1,1.69402517321407e-05,0.00200400801603206
"accompanies",1,1.69402517321407e-05,0.00200400801603206
"accompany",1,1.69402517321407e-05,0.00200400801603206
"accompanying",2,3.38805034642815e-05,0.00400801603206413
"accomplish",1,1.69402517321407e-05,0.00200400801603206
"according",22,0.000372685538107096,0.0360721442885772
"accordingly",1,1.69402517321407e-05,0.00200400801603206
"account",17,0.000287984279446393,0.0240480961923848
"accounting",5,8.47012586607037e-05,0.00400801603206413
"accounts",6,0.000101641510392844,0.0100200400801603
"accross",2,3.38805034642815e-05,0.00400801603206413
"accrued",1,1.69402517321407e-05,0.00200400801603206
"accurate",4,6.7761006928563e-05,0.00801603206412826
"accused",6,0.000101641510392844,0.00801603206412826
"accustomed",2,3.38805034642815e-05,0.00400801603206413
"ace",1,1.69402517321407e-05,0.00200400801603206
"acerbic",1,1.69402517321407e-05,0.00200400801603206
"achieve",1,1.69402517321407e-05,0.00200400801603206
"acknowledged",1,1.69402517321407e-05,0.00200400801603206
"acknowledgement",1,1.69402517321407e-05,0.00200400801603206
"acknowledging",2,3.38805034642815e-05,0.00400801603206413
"acl",1,1.69402517321407e-05,0.00200400801603206
"acm",1,1.69402517321407e-05,0.00200400801603206
"acme",1,1.69402517321407e-05,0.00200400801603206
"acontentsarticletitlecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"acontentsarticletitlehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"acpi",2,3.38805034642815e-05,0.00400801603206413
"acquired",8,0.000135522013857126,0.0160320641282565
"acquiring",1,1.69402517321407e-05,0.00200400801603206
"acquisition",6,0.000101641510392844,0.00400801603206413
"acquisitions",1,1.69402517321407e-05,0.00200400801603206
"across",4,6.7761006928563e-05,0.00801603206412826
"act",29,0.000491267300232081,0.0200400801603206
"actbr",1,1.69402517321407e-05,0.00200400801603206
"acting",1,1.69402517321407e-05,0.00200400801603206
"action",15,0.000254103775982111,0.0180360721442886
"actionable",1,1.69402517321407e-05,0.00200400801603206
"actionhttpwwwimakenewscomeletramodinputproccfm",1,1.69402517321407e-05,0.00200400801603206
"actions",1,1.69402517321407e-05,0.00200400801603206
"actionsno",1,1.69402517321407e-05,0.00200400801603206
"active",7,0.000118581762124985,0.0120240480961924
"actively",3,5.08207551964222e-05,0.00601202404809619
"activist",3,5.08207551964222e-05,0.00601202404809619
"activists",8,0.000135522013857126,0.00601202404809619
"activities",4,6.7761006928563e-05,0.00801603206412826
"activity",9,0.000152462265589267,0.0100200400801603
"acts",7,0.000118581762124985,0.0100200400801603
"actscanners",1,1.69402517321407e-05,0.00200400801603206
"actsettings",1,1.69402517321407e-05,0.00200400801603206
"actspartners",3,5.08207551964222e-05,0.00200400801603206
"actual",17,0.000287984279446393,0.0340681362725451
"actually",74,0.00125357862817841,0.12625250501002
"actualy",3,5.08207551964222e-05,0.00601202404809619
"adam",88,0.00149074215242838,0.108216432865731
"adamant",1,1.69402517321407e-05,0.00200400801603206
"adamfantasy",6,0.000101641510392844,0.0120240480961924
"adamson",3,5.08207551964222e-05,0.00601202404809619
"adapted",1,1.69402517321407e-05,0.00200400801603206
"adapting",3,5.08207551964222e-05,0.00601202404809619
"add",25,0.000423506293303518,0.0420841683366733
"added",22,0.000372685538107096,0.0360721442885772
"addicted",1,1.69402517321407e-05,0.00200400801603206
"addiction",2,3.38805034642815e-05,0.00200400801603206
"addictive",1,1.69402517321407e-05,0.00200400801603206
"addicts",1,1.69402517321407e-05,0.00200400801603206
"adding",6,0.000101641510392844,0.0120240480961924
"addition",3,5.08207551964222e-05,0.00601202404809619
"additional",6,0.000101641510392844,0.0120240480961924
"additions",1,1.69402517321407e-05,0.00200400801603206
"address",17,0.000287984279446393,0.0280561122244489
"addressbook",1,1.69402517321407e-05,0.00200400801603206
"addressed",1,1.69402517321407e-05,0.00200400801603206
"addressee",1,1.69402517321407e-05,0.00200400801603206
"addresses",6,0.000101641510392844,0.0120240480961924
"addressing",3,5.08207551964222e-05,0.00400801603206413
"adds",3,5.08207551964222e-05,0.00601202404809619
"adelie",1,1.69402517321407e-05,0.00200400801603206
"adelphia",2,3.38805034642815e-05,0.00400801603206413
"adequate",4,6.7761006928563e-05,0.00801603206412826
"adhesion",3,5.08207551964222e-05,0.00400801603206413
"adhesive",4,6.7761006928563e-05,0.00400801603206413
"adjourned",1,1.69402517321407e-05,0.00200400801603206
"adjust",1,1.69402517321407e-05,0.00200400801603206
"adjusted",1,1.69402517321407e-05,0.00200400801603206
"adjusting",1,1.69402517321407e-05,0.00200400801603206
"administer",3,5.08207551964222e-05,0.00601202404809619
"administration",22,0.000372685538107096,0.0160320641282565
"administrator",5,8.47012586607037e-05,0.0100200400801603
"administrators",1,1.69402517321407e-05,0.00200400801603206
"administrivia",1,1.69402517321407e-05,0.00200400801603206
"admins",1,1.69402517321407e-05,0.00200400801603206
"admiring",1,1.69402517321407e-05,0.00200400801603206
"admit",2,3.38805034642815e-05,0.00400801603206413
"admits",2,3.38805034642815e-05,0.00400801603206413
"admitted",4,6.7761006928563e-05,0.00801603206412826
"adobe",2,3.38805034642815e-05,0.00400801603206413
"adolescence",1,1.69402517321407e-05,0.00200400801603206
"adolescent",2,3.38805034642815e-05,0.00400801603206413
"adopted",3,5.08207551964222e-05,0.00200400801603206
"adoptee",1,1.69402517321407e-05,0.00200400801603206
"adopting",2,3.38805034642815e-05,0.00400801603206413
"adoption",4,6.7761006928563e-05,0.00801603206412826
"adopts",1,1.69402517321407e-05,0.00200400801603206
"adresse",1,1.69402517321407e-05,0.00200400801603206
"adrian",2,3.38805034642815e-05,0.00400801603206413
"ads",8,0.000135522013857126,0.0120240480961924
"adsl",4,6.7761006928563e-05,0.00601202404809619
"adult",4,6.7761006928563e-05,0.00801603206412826
"adultery",1,1.69402517321407e-05,0.00200400801603206
"adults",1,1.69402517321407e-05,0.00200400801603206
"advance",2,3.38805034642815e-05,0.00400801603206413
"advanced",6,0.000101641510392844,0.0120240480961924
"advancedplacement",1,1.69402517321407e-05,0.00200400801603206
"advancing",1,1.69402517321407e-05,0.00200400801603206
"advantage",25,0.000423506293303518,0.0460921843687375
"advantages",2,3.38805034642815e-05,0.00400801603206413
"adventures",1,1.69402517321407e-05,0.00200400801603206
"adversaries",1,1.69402517321407e-05,0.00200400801603206
"advert",1,1.69402517321407e-05,0.00200400801603206
"advertise",3,5.08207551964222e-05,0.00400801603206413
"advertised",3,5.08207551964222e-05,0.00601202404809619
"advertisement",3,5.08207551964222e-05,0.00400801603206413
"advertising",10,0.000169402517321407,0.0140280561122244
"advice",4,6.7761006928563e-05,0.00601202404809619
"advise",4,6.7761006928563e-05,0.00801603206412826
"advises",2,3.38805034642815e-05,0.00200400801603206
"advisory",1,1.69402517321407e-05,0.00200400801603206
"advocacy",1,1.69402517321407e-05,0.00200400801603206
"advocate",1,1.69402517321407e-05,0.00200400801603206
"advocates",3,5.08207551964222e-05,0.00400801603206413
"aerial",1,1.69402517321407e-05,0.00200400801603206
"aerikssonfastmailfm",1,1.69402517321407e-05,0.00200400801603206
"aesthetics",1,1.69402517321407e-05,0.00200400801603206
"aeyaaaaaauaaaaaaaadamebccagaaaaaadaaaaaaaaargaaaaaqhqaaaaaaaamazoeiiayaaaaa",1,1.69402517321407e-05,0.00200400801603206
"afaik",2,3.38805034642815e-05,0.00400801603206413
"affa",1,1.69402517321407e-05,0.00200400801603206
"affairs",2,3.38805034642815e-05,0.00400801603206413
"affect",2,3.38805034642815e-05,0.00400801603206413
"affected",1,1.69402517321407e-05,0.00200400801603206
"affecting",2,3.38805034642815e-05,0.00400801603206413
"affectional",1,1.69402517321407e-05,0.00200400801603206
"affects",1,1.69402517321407e-05,0.00200400801603206
"affluent",1,1.69402517321407e-05,0.00200400801603206
"afford",4,6.7761006928563e-05,0.00601202404809619
"afghanistan",2,3.38805034642815e-05,0.00400801603206413
"afghanistanî¢¿s",1,1.69402517321407e-05,0.00200400801603206
"afont",3,5.08207551964222e-05,0.00200400801603206
"afooterarchivecolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,3.38805034642815e-05,0.00200400801603206
"afooterarchivehovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"afootercopyrightcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.38805034642815e-05,0.00200400801603206
"afooterdisclaimercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.38805034642815e-05,0.00200400801603206
"afooterpdfcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationnone",2,3.38805034642815e-05,0.00200400801603206
"afooterpdfhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"afooterpublishercolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationnone",2,3.38805034642815e-05,0.00200400801603206
"afooterpublisherhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightnormalfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"afootertellafriendcolorbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"afootertellafriendhovercolorffbackgroundcolortransparentfontfamilyverdanafontsizexxsmallfontweightboldfontstylenormaltextdecorationunderline",2,3.38805034642815e-05,0.00200400801603206
"aforementioned",6,0.000101641510392844,0.0120240480961924
"afraid",1,1.69402517321407e-05,0.00200400801603206
"africa",5,8.47012586607037e-05,0.0100200400801603
"african",6,0.000101641510392844,0.00601202404809619
"after",4,6.7761006928563e-05,0.00801603206412826
"afterall",1,1.69402517321407e-05,0.00200400801603206
"afternoon",4,6.7761006928563e-05,0.00801603206412826
"afterwards",4,6.7761006928563e-05,0.00801603206412826
"agaaawaqeasaaaadabeqaqaaabacbabaaaazqaaafdjvehpvvjuruxfqnubbulrorvjcvuc",1,1.69402517321407e-05,0.00200400801603206
"again",49,0.000830072334874896,0.0861723446893788
"age",15,0.000254103775982111,0.030060120240481
"aged",4,6.7761006928563e-05,0.00400801603206413
"ageing",1,1.69402517321407e-05,0.00200400801603206
"ageist",2,3.38805034642815e-05,0.00400801603206413
"agencies",19,0.000321864782910674,0.0100200400801603
"agency",17,0.000287984279446393,0.0140280561122244
"agencyî¢¾e",1,1.69402517321407e-05,0.00200400801603206
"agent",5,8.47012586607037e-05,0.00200400801603206
"agents",7,0.000118581762124985,0.00801603206412826
"ages",1,1.69402517321407e-05,0.00200400801603206
"aggregated",1,1.69402517321407e-05,0.00200400801603206
"aggressive",3,5.08207551964222e-05,0.00400801603206413
"agitating",1,1.69402517321407e-05,0.00200400801603206
"agnula",1,1.69402517321407e-05,0.00200400801603206
"ago",47,0.000796191831410615,0.0801603206412826
"agonising",1,1.69402517321407e-05,0.00200400801603206
"agosto",2,3.38805034642815e-05,0.00200400801603206
"agree",14,0.00023716352424997,0.0220440881763527
"agreeable",9,0.000152462265589267,0.0140280561122244
"agreed",5,8.47012586607037e-05,0.00601202404809619
"agreement",3,5.08207551964222e-05,0.00400801603206413
"agreements",1,1.69402517321407e-05,0.00200400801603206
"agrees",1,1.69402517321407e-05,0.00200400801603206
"agribusiness",1,1.69402517321407e-05,0.00200400801603206
"agricultural",1,1.69402517321407e-05,0.00200400801603206
"ahead",4,6.7761006928563e-05,0.00801603206412826
"ahem",5,8.47012586607037e-05,0.0100200400801603
"aherne",3,5.08207551964222e-05,0.00601202404809619
"aid",16,0.000271044027714252,0.0100200400801603
"aides",1,1.69402517321407e-05,0.00200400801603206
"aids",11,0.000186342769053548,0.0180360721442886
"aidshiv",1,1.69402517321407e-05,0.00200400801603206
"aimed",4,6.7761006928563e-05,0.00601202404809619
"aims",2,3.38805034642815e-05,0.00400801603206413
"aint",6,0.000101641510392844,0.0120240480961924
"aio",14,0.00023716352424997,0.00801603206412826
"air",9,0.000152462265589267,0.0140280561122244
"airborne",1,1.69402517321407e-05,0.00200400801603206
"aircooled",2,3.38805034642815e-05,0.00400801603206413
"aircraft",2,3.38805034642815e-05,0.00400801603206413
"airline",6,0.000101641510392844,0.00400801603206413
"airlines",5,8.47012586607037e-05,0.00200400801603206
"airport",5,8.47012586607037e-05,0.00400801603206413
"airports",1,1.69402517321407e-05,0.00200400801603206
"airwaves",2,3.38805034642815e-05,0.00200400801603206
"airways",7,0.000118581762124985,0.00200400801603206
"aisle",1,1.69402517321407e-05,0.00200400801603206
"aka",1,1.69402517321407e-05,0.00200400801603206
"akamai",1,1.69402517321407e-05,0.00200400801603206
"alan",3,5.08207551964222e-05,0.00601202404809619
"alarm",1,1.69402517321407e-05,0.00200400801603206
"alarmed",1,1.69402517321407e-05,0.00200400801603206
"alaskan",1,1.69402517321407e-05,0.00200400801603206
"alaslib",1,1.69402517321407e-05,0.00200400801603206
"alastair",2,3.38805034642815e-05,0.00400801603206413
"alb",167,0.0028290220392675,0.0140280561122244
"albans",1,1.69402517321407e-05,0.00200400801603206
"albeit",1,1.69402517321407e-05,0.00200400801603206
"albert",1,1.69402517321407e-05,0.00200400801603206
"albion",1,1.69402517321407e-05,0.00200400801603206
"album",5,8.47012586607037e-05,0.00801603206412826
"albums",3,5.08207551964222e-05,0.00601202404809619
"alcatel",1,1.69402517321407e-05,0.00200400801603206
"alcohol",3,5.08207551964222e-05,0.00400801603206413
"alcoholics",1,1.69402517321407e-05,0.00200400801603206
"alerted",1,1.69402517321407e-05,0.00200400801603206
"alexanders",1,1.69402517321407e-05,0.00200400801603206
"alfred",2,3.38805034642815e-05,0.00200400801603206
"algebra",2,3.38805034642815e-05,0.00400801603206413
"alice",1,1.69402517321407e-05,0.00200400801603206
"alien",2,3.38805034642815e-05,0.00400801603206413
"aliens",4,6.7761006928563e-05,0.00400801603206413
"aligncenter",4,6.7761006928563e-05,0.00200400801603206
"aligncenterbrnewsletter",1,1.69402517321407e-05,0.00200400801603206
"alignleft",4,6.7761006928563e-05,0.00200400801603206
"alignright",3,5.08207551964222e-05,0.00200400801603206
"aligntop",1,1.69402517321407e-05,0.00200400801603206
"aligntopa",1,1.69402517321407e-05,0.00200400801603206
"alike",2,3.38805034642815e-05,0.00400801603206413
"alive",7,0.000118581762124985,0.0120240480961924
"all",50,0.000847012586607037,0.0841683366733467
"allay",1,1.69402517321407e-05,0.00200400801603206
"alleged",2,3.38805034642815e-05,0.00400801603206413
"allegedly",2,3.38805034642815e-05,0.00400801603206413
"allen",1,1.69402517321407e-05,0.00200400801603206
"alley",2,3.38805034642815e-05,0.00400801603206413
"alleycat",1,1.69402517321407e-05,0.00200400801603206
"alleyways",2,3.38805034642815e-05,0.00400801603206413
"alliance",10,0.000169402517321407,0.00801603206412826
"allies",2,3.38805034642815e-05,0.00400801603206413
"allocating",1,1.69402517321407e-05,0.00200400801603206
"allocation",2,3.38805034642815e-05,0.00400801603206413
"allow",19,0.000321864782910674,0.032064128256513
"allowed",15,0.000254103775982111,0.0280561122244489
"allowing",1,1.69402517321407e-05,0.00200400801603206
"allows",14,0.00023716352424997,0.0260521042084168
"allround",1,1.69402517321407e-05,0.00200400801603206
"allude",1,1.69402517321407e-05,0.00200400801603206
"almasri",2,3.38805034642815e-05,0.00400801603206413
"almighty",1,1.69402517321407e-05,0.00200400801603206
"almost",2,3.38805034642815e-05,0.00400801603206413
"alone",2,3.38805034642815e-05,0.00400801603206413
"along",12,0.000203283020785689,0.0220440881763527
"alongside",3,5.08207551964222e-05,0.00601202404809619
"alook",2,3.38805034642815e-05,0.00400801603206413
"alot",3,5.08207551964222e-05,0.00400801603206413
"alpha",1,1.69402517321407e-05,0.00200400801603206
"alphie",1,1.69402517321407e-05,0.00200400801603206
"already",5,8.47012586607037e-05,0.00801603206412826
"alsa",20,0.000338805034642815,0.00801603206412826
"alsadriver",3,5.08207551964222e-05,0.00200400801603206
"alsadriverrcfrsrcrpm",1,1.69402517321407e-05,0.00200400801603206
"alsadrivers",1,1.69402517321407e-05,0.00200400801603206
"alsalibdevel",1,1.69402517321407e-05,0.00200400801603206
"alsalibs",2,3.38805034642815e-05,0.00200400801603206
"alsamixer",1,1.69402517321407e-05,0.00200400801603206
"alsautils",2,3.38805034642815e-05,0.00400801603206413
"also",19,0.000321864782910674,0.0360721442885772
"alsorans",1,1.69402517321407e-05,0.00200400801603206
"alt",4,6.7761006928563e-05,0.00400801603206413
"altavista",1,1.69402517321407e-05,0.00200400801603206
"alter",2,3.38805034642815e-05,0.00400801603206413
"alteration",1,1.69402517321407e-05,0.00200400801603206
"altered",1,1.69402517321407e-05,0.00200400801603206
"alternative",14,0.00023716352424997,0.0220440881763527
"alternatively",1,1.69402517321407e-05,0.00200400801603206
"alternatives",5,8.47012586607037e-05,0.0100200400801603
"alternativesa",1,1.69402517321407e-05,0.00200400801603206
"although",2,3.38805034642815e-05,0.00400801603206413
"altitude",3,5.08207551964222e-05,0.00601202404809619
"altmedia",1,1.69402517321407e-05,0.00200400801603206
"altteens",1,1.69402517321407e-05,0.00200400801603206
"alva",1,1.69402517321407e-05,0.00200400801603206
"always",1,1.69402517321407e-05,0.00200400801603206
"alwaysdoomed",1,1.69402517321407e-05,0.00200400801603206
"amaaaaaaaabgaaaaabifaaaaaaaacwdlgqggbgaaaaaawaaaaaaaaeyaaaaabouaaaaaaaalaomb",1,1.69402517321407e-05,0.00200400801603206
"amavisd",1,1.69402517321407e-05,0.00200400801603206
"amavispostfix",1,1.69402517321407e-05,0.00200400801603206
"amazed",4,6.7761006928563e-05,0.00601202404809619
"amazes",1,1.69402517321407e-05,0.00200400801603206
"amazing",10,0.000169402517321407,0.0200400801603206
"amazingly",2,3.38805034642815e-05,0.00400801603206413
"amazon",2,3.38805034642815e-05,0.00400801603206413
"amazonian",1,1.69402517321407e-05,0.00200400801603206
"ambiguity",1,1.69402517321407e-05,0.00200400801603206
"ambiguous",1,1.69402517321407e-05,0.00200400801603206
"ambitions",1,1.69402517321407e-05,0.00200400801603206
"ambivalent",1,1.69402517321407e-05,0.00200400801603206
"amen",3,5.08207551964222e-05,0.00601202404809619
"amended",2,3.38805034642815e-05,0.00400801603206413
"america",33,0.000559028307160644,0.0340681362725451
"american",22,0.000372685538107096,0.0340681362725451
"americanhistory",1,1.69402517321407e-05,0.00200400801603206
"americans",21,0.000355745286374956,0.0260521042084168
"americanstyle",1,1.69402517321407e-05,0.00200400801603206
"americas",5,8.47012586607037e-05,0.00801603206412826
"amiable",1,1.69402517321407e-05,0.00200400801603206
"amid",1,1.69402517321407e-05,0.00200400801603206
"amiga",1,1.69402517321407e-05,0.00200400801603206
"amongst",9,0.000152462265589267,0.0180360721442886
"amount",18,0.000304924531178533,0.0280561122244489
"amounts",5,8.47012586607037e-05,0.0100200400801603
"amphetadesk",2,3.38805034642815e-05,0.00200400801603206
"amphitheatre",1,1.69402517321407e-05,0.00200400801603206
"amr",1,1.69402517321407e-05,0.00200400801603206
"amun",3,5.08207551964222e-05,0.00601202404809619
"amused",3,5.08207551964222e-05,0.00601202404809619
"amusing",4,6.7761006928563e-05,0.00801603206412826
"analog",1,1.69402517321407e-05,0.00200400801603206
"analogous",1,1.69402517321407e-05,0.00200400801603206
"analogue",1,1.69402517321407e-05,0.00200400801603206
"analogues",1,1.69402517321407e-05,0.00200400801603206
"analogy",1,1.69402517321407e-05,0.00200400801603206
"analyis",1,1.69402517321407e-05,0.00200400801603206
"analyses",1,1.69402517321407e-05,0.00200400801603206
"analysis",7,0.000118581762124985,0.00601202404809619
"analyst",6,0.000101641510392844,0.0100200400801603
"analysts",2,3.38805034642815e-05,0.00200400801603206
"analyzing",6,0.000101641510392844,0.0120240480961924
"ananova",1,1.69402517321407e-05,0.00200400801603206
"ananovaa",4,6.7761006928563e-05,0.00801603206412826
"anantapur",2,3.38805034642815e-05,0.00400801603206413
"ancestral",1,1.69402517321407e-05,0.00200400801603206
"ancient",5,8.47012586607037e-05,0.00801603206412826
"and",84,0.00142298114549982,0.124248496993988
"andean",1,1.69402517321407e-05,0.00200400801603206
"anders",1,1.69402517321407e-05,0.00200400801603206
"anderson",5,8.47012586607037e-05,0.0100200400801603
"andes",1,1.69402517321407e-05,0.00200400801603206
"andhra",2,3.38805034642815e-05,0.00400801603206413
"andmerited",2,3.38805034642815e-05,0.00200400801603206
"andor",5,8.47012586607037e-05,0.00601202404809619
"andrew",4,6.7761006928563e-05,0.00801603206412826
"andrey",2,3.38805034642815e-05,0.00400801603206413
"andris",1,1.69402517321407e-05,0.00200400801603206
"andy",1,1.69402517321407e-05,0.00200400801603206
"anecdotal",4,6.7761006928563e-05,0.00801603206412826
"anecdote",7,0.000118581762124985,0.0120240480961924
"anecdotes",3,5.08207551964222e-05,0.00601202404809619
"angegangen",1,1.69402517321407e-05,0.00200400801603206
"angela",2,3.38805034642815e-05,0.00400801603206413
"angeles",3,5.08207551964222e-05,0.00601202404809619
"anger",2,3.38805034642815e-05,0.00400801603206413
"angered",2,3.38805034642815e-05,0.00400801603206413
"angiulo",1,1.69402517321407e-05,0.00200400801603206
"angle",5,8.47012586607037e-05,0.0100200400801603
"angles",8,0.000135522013857126,0.0100200400801603
